Date,Conservatives,Labour,UKIP,Liberal Democrats,SNP,Green Party,Others,
18/04/2017,0.46,0.25,0.08,0.11,0.04,0.04,0.01,
19/04/2017,0.48,0.24,0.07,0.12,0.06,0.02,0.01,
20/04/2017,0.46,0.26,0.08,0.11,0.05,0.03,0.01,
21/04/2017,0.48,0.26,0.07,0.11,0.05,0.03,0.02,
22/04/2017,0.4,0.29,0.11,0.11,0.04,0.02,0.03,
23/04/2017,0.42,0.26,0.08,0.1,0.05,0.06,0.08,
24/04/2017,0.48,0.26,0.07,0.1,0.05,0.03,0.01,
25/04/2017,0.49,0.26,0.04,0.13,0.04,0.01,0.04,
26/04/2017,0.45,0.29,0.07,0.1,0.05,0.03,0.01,
27/04/2017,0.42,0.31,0.08,0.1,0.04,0.04,0,
28/04/2017,0.46,0.3,0.07,0.09,0.04,0.03,0.01,
02/05/2017,0.47,0.27,0.07,0.1,0.04,0.03,0.01,
03/05/2017,0.47,0.3,0.06,0.1,0.05,0.02,0.01,
04/05/2017,0.46,0.31,0.08,0.09,0.03,0.02,0.02,
05/05/2017,0.47,0.28,0.07,0.11,0.05,0.03,0.01,
06/05/2017,0.47,0.3,0.04,0.07,0.05,0.03,0.03,
07/05/2017,0.49,0.27,0.06,0.09,0.04,0.03,0.01,
08/05/2017,0.44,0.28,0.08,0.11,0.04,0.05,0.01,
09/05/2017,0.48,0.31,0.05,0.08,0.04,0.02,0.02,
10/05/2017,0.46,0.3,0.05,0.11,0.06,0.02,0.01,
11/05/2017,0.46,0.32,0.07,0.08,0.02,0.02,0.02,
12/05/2017,0.48,0.31,0.04,0.09,0.05,0.02,0.01,
13/05/2017,0.48,0.3,0.04,0.08,0.04,0.02,0.04,
14/05/2017,0.48,0.28,0.06,0.1,0.04,0.03,0.01,
15/05/2017,0.47,0.31,0.06,0.08,0.04,0.04,0.02,
16/05/2017,0.46,0.33,0.05,0.08,0.05,0.02,0.01,
18/05/2017,0.46,0.34,0.07,0.07,0.04,0.01,0.01,
19/05/2017,0.44,0.35,0.03,0.09,0.05,0.02,0.01,
20/05/2017,0.445,0.34,0.035,0.08,0.035,0.015,0.04,
21/05/2017,0.47,0.33,0.04,0.09,0.04,0.02,0.01,
22/05/2017,0.42,0.34,0.04,0.09,0.04,0.04,0.02,
23/05/2017,0.48,0.33,0.04,0.07,0.05,0.02,0.01,
24/05/2017,0.45,0.35,0.05,0.07,0.05,0.02,0.01,
25/05/2017,0.436666667,0.373333333,0.043333333,0.076666667,0.04,0.016666667,0.013333333,
26/05/2017,0.45,0.34,0.046666667,0.083333333,0.04,0.02,0.01,
27/05/2017,0.43,0.37,0.04,0.08,0.02,0.01,0.04,
28/05/2017,0.42,0.38,0.04,0.09,0.03,0.02,0.02,
,,,,,,,,
